"Date","Price","Open","High","Low","Vol.","Change %"
"26/03/2024","8,036.70","8,071.50","8,071.50","8,030.20","1.10B","-0.43%"
"25/03/2024","8,071.50","8,026.30","8,103.50","8,026.30","846.06M","0.56%"
"22/03/2024","8,026.30","8,044.60","8,049.10","7,997.90","1.10B","-0.23%"
"21/03/2024","8,044.60","7,954.50","8,049.40","7,954.50","1.37B","1.13%"
"20/03/2024","7,954.50","7,957.80","7,993.00","7,952.60","1.16B","-0.04%"
"19/03/2024","7,957.80","7,925.20","7,961.80","7,917.40","1.10B","0.41%"
"18/03/2024","7,925.20","7,923.80","7,929.00","7,894.20","1.15B","0.02%"
"15/03/2024","7,923.80","7,974.00","7,974.00","7,848.30","4.08B","-0.63%"
"14/03/2024","7,974.00","7,989.50","8,002.50","7,961.20","1.47B","-0.19%"
"13/03/2024","7,989.50","7,973.00","8,002.70","7,971.30","1.08B","0.21%"
"12/03/2024","7,973.00","7,963.60","7,992.80","7,961.00","1.14B","0.12%"
"11/03/2024","7,963.60","8,107.50","8,107.50","7,956.10","941.81M","-1.77%"
"08/03/2024","8,107.50","8,026.70","8,112.60","8,026.70","1.28B","1.01%"
"07/03/2024","8,026.70","7,990.30","8,029.40","7,977.80","1.14B","0.46%"
"06/03/2024","7,990.30","7,988.30","7,994.70","7,951.20","1.20B","0.03%"
"05/03/2024","7,988.30","7,996.50","8,013.70","7,972.30","1.26B","-0.10%"
"04/03/2024","7,996.50","8,007.10","8,033.70","7,987.70","1.39B","-0.13%"
"01/03/2024","8,007.10","7,959.50","8,007.10","7,957.80","1.39B","0.60%"
"29/02/2024","7,959.50","7,917.10","7,963.80","7,886.90","2.51B","0.54%"
"28/02/2024","7,917.10","7,922.20","7,939.10","7,892.90","1.48B","-0.06%"
"27/02/2024","7,922.20","7,908.10","7,923.70","7,863.50","1.30B","0.18%"
"26/02/2024","7,908.10","7,899.20","7,938.70","7,890.60","1.37B","0.11%"
"23/02/2024","7,899.20","7,865.30","7,918.10","7,865.30","1.51B","0.43%"
"22/02/2024","7,865.30","7,860.00","7,870.30","7,839.10","2.60B","0.07%"
"21/02/2024","7,860.00","7,911.50","7,911.50","7,837.10","2.45B","-0.65%"
"20/02/2024","7,911.50","7,913.30","7,923.10","7,880.40","1.45B","-0.02%"
"19/02/2024","7,913.30","7,905.60","7,931.30","7,901.10","1.19B","0.10%"
"16/02/2024","7,905.60","7,851.70","7,927.00","7,851.70","1.42B","0.69%"
"15/02/2024","7,851.70","7,790.50","7,865.00","7,782.90","1.37B","0.79%"
"14/02/2024","7,790.50","7,847.80","7,847.80","7,731.00","1.22B","-0.73%"
"13/02/2024","7,847.80","7,860.30","7,878.30","7,843.70","1.09B","-0.16%"
"12/02/2024","7,860.30","7,884.70","7,884.70","7,854.00","793.95M","-0.31%"
"09/02/2024","7,884.70","7,875.20","7,894.70","7,866.50","985.55M","0.12%"
"08/02/2024","7,875.20","7,850.90","7,897.40","7,850.90","1.04B","0.31%"
